time,open,high,low,close,vwap,volume,count,ema30,ema100,rsi,atr
2024-01-19,41264.8,42140.3,40255.0,41611.9,41184.9,3578.28441991,27090.0,43040.868815642214,39232.5092989448,43.44619679228893,2027.528378954871
2024-01-20,41611.9,41800.0,40000.0,41650.0,41332.4,827.74780718,10244.0,42951.13534366529,39280.38040193599,43.633125508173194,2011.2763518866657
2024-01-21,41649.9,42260.0,41482.8,41554.7,41687.0,892.75638839,10991.0,42861.04274084818,39325.41643358082,43.248061031204756,1923.128041037618
2024-01-22,41554.8,41654.2,39410.9,39510.0,40323.0,4093.73353976,35136.0,42644.846434987005,39329.07155370793,35.9230019182278,1945.9974666777878
2024-01-23,39510.0,40100.0,38518.0,39844.0,39231.1,3365.92043035,30988.0,42464.14666498784,39339.2681566048,37.776949059055006,1919.9976476293743
2024-01-24,39844.0,40492.3,39451.1,40069.8,39930.5,2453.93910708,22651.0,42309.67268660153,39353.734133701735,39.060624821533544,1857.2263870844195
2024-01-25,40069.8,40261.7,39556.2,39924.8,39905.3,1465.24653636,16598.0,42155.80993262724,39365.04236867794,38.51118557720639,1774.9602165783895
2024-01-26,39924.8,42213.6,39810.4,41814.2,41152.8,3399.17302935,27229.0,42133.77058213516,39413.540539595204,48.647550677223826,1819.83448682279
2024-01-27,41814.3,42194.3,41399.9,42126.3,41783.2,1297.45365748,13460.0,42133.28860909418,39467.258548712125,50.11056720666036,1746.589166335448
2024-01-28,42126.3,42800.0,41651.2,42024.9,42312.0,1693.01208312,16833.0,42126.295795604245,39517.90491408416,49.615984921508996,1703.8899401686306
2024-01-29,42025.0,43333.0,41817.8,43269.5,42673.1,1946.95379463,22540.0,42200.05090556526,39592.19392568645,55.43061872080482,1690.4120872994424
2024-01-30,43272.7,43857.2,42716.0,42956.0,43418.5,2446.94412456,22857.0,42248.82181488363,39658.80394695999,53.74800518815462,1651.1826524923392
2024-01-31,42956.0,43742.3,42300.1,42551.7,42961.3,2838.35239346,22977.0,42268.362342955654,39716.089017317216,51.573732098615494,1636.2553201714582
2024-02-01,42551.7,43250.0,41882.5,43075.2,42660.0,2669.02478811,21059.0,42320.41638534561,39782.606066479246,54.15955170752234,1617.0585115877825
2024-02-02,43075.3,43431.5,42546.6,43185.9,43081.1,2184.38096499,18075.0,42376.254037903964,39849.99802555887,54.71027384866255,1564.761475045798
2024-02-03,43185.9,43345.2,42900.1,42982.8,43093.5,526.15799578,10467.0,42415.38603545855,39912.03370822107,53.44171376015671,1484.7856553996696
2024-02-04,42982.8,43091.1,42232.8,42591.4,42791.4,629.56386931,10772.0,42426.74177510639,39965.09046647411,50.9880980244894,1440.0366800139786
2024-02-05,42591.3,43489.0,42250.9,42650.0,42767.9,1582.95704238,20053.0,42441.14553155114,40018.25699189046,51.34825025916166,1425.6126314415517
2024-02-06,42650.0,43339.7,42530.3,43085.0,42972.6,1340.59799225,17580.0,42482.68452951559,40078.98457620946,54.04765825496147,1381.5974434814405
2024-02-07,43085.0,44362.0,42763.7,44333.6,43484.3,3765.68949635,23295.0,42602.09843083717,40163.23438658156,60.77510954890087,1397.0761975184807
2024-02-08,44333.7,45606.2,44333.7,45329.6,44941.7,3551.71897942,29430.0,42778.06627400897,40265.538656154196,65.15715801581703,1388.1850405528749
2024-02-09,45329.6,48188.5,45258.8,47127.0,46918.2,5688.46558971,44582.0,43058.642643427745,40401.40917781451,71.37254601512603,1498.293251941955
2024-02-10,47127.1,48154.0,46900.0,47773.2,47442.9,1605.66098504,18326.0,43362.80763417434,40547.385233699366,73.22198478388657,1480.843733946101
2024-02-11,47766.2,48590.0,47580.9,48295.0,48225.7,1781.36073625,21288.0,43681.01359325987,40700.80334788354,74.64634431048064,1447.147752949951
2024-02-12,48295.0,50339.5,47642.0,49943.7,49395.0,5147.57339488,37650.0,44085.05787756569,40883.8310043611,78.53192999164753,1536.4586277392402
2024-02-13,49943.7,50390.2,48240.0,49755.4,49357.1,3982.47498943,30280.0,44450.886401593714,41059.505637938106,77.078997864737,1580.2972971864372
2024-02-14,49750.1,52136.8,49255.2,51835.1,51182.4,4718.31045495,43123.0,44927.28727891025,41272.88374411754,81.21316267637727,1673.247490244549
2024-02-15,51835.2,52843.0,51335.2,51947.1,52023.5,4193.46649497,39762.0,45380.17842220636,41484.254363045904,81.40764963885977,1661.4298123699386
2024-02-16,51947.1,52574.2,51625.0,52185.3,52071.8,2064.57876753,24426.0,45819.2185239995,41696.156256846974,81.83827764280598,1610.5562543435142
2024-02-17,52185.3,52192.0,50581.2,51700.0,51375.1,2108.88563124,22226.0,46198.62378051566,41894.25217255297,77.88051273347827,1610.5736647475492
2024-02-18,51700.1,52392.1,51231.1,52156.3,51856.2,1645.27261209,20234.0,46582.98998822433,42097.46104042321,78.91310985317342,1578.461260122724
2024-02-19,52157.1,52475.6,51704.8,51771.1,52151.9,1628.6291871,20670.0,46917.70676317761,42289.01824754354,75.70037859945258,1520.7711701139579
2024-02-20,51771.2,52991.8,50663.7,52270.1,51926.9,4612.93475308,31235.0,47263.022455875835,42486.6634307605,77.00634556116223,1578.4375151058182
2024-02-21,52270.1,52359.9,50636.4,51866.9,51351.3,2178.54135636,28718.0,47560.04681356126,42672.41068955732,73.56590600504953,1588.7991211696883
2024-02-22,51866.9,52035.0,50890.2,51300.1,51575.2,1926.74006003,24141.0,47801.340567525054,42843.256022437374,68.905383855428,1557.0848982289965
2024-02-23,51300.1,51472.4,50456.0,50739.4,51031.4,1510.21978084,22003.0,47990.89278897505,42999.61530912178,64.54893643101244,1518.464548355497
2024-02-24,50739.4,51650.0,50589.7,51554.5,51204.8,942.00205046,15680.0,48220.802931621816,43169.018966366886,67.74182749343095,1485.7385091872475
2024-02-25,51554.5,51936.7,51300.0,51733.8,51686.3,1220.61894467,14195.0,48447.447903775246,43338.61859079527,68.41570369206381,1425.0929013881582
2024-02-26,51733.8,54920.0,50950.0,54525.4,53151.3,5241.13945742,43438.0,48839.57384546717,43560.139014739914,76.60883329547161,1606.8719798604327
2024-02-27,54525.4,57572.6,54478.8,57072.6,56401.0,5285.87451429,50826.0,49370.736823178966,43827.71249959655,81.36016388453385,1713.0811241561157
2024-02-28,57066.2,64015.8,56000.4,62487.8,60364.4,10911.28773542,106181.0,50216.99896361904,44197.21918277285,87.27699525771905,2163.2467581449646
2024-02-29,62489.8,63583.5,60108.8,61180.9,61917.9,6805.48164512,70008.0,50924.3474175791,44533.52969400507,80.62531920902457,2256.9219897060384
2024-03-01,61180.9,63150.0,60800.1,62434.3,62082.1,3522.12836667,37012.0,51666.92500354174,44888.00039313368,82.03912818022629,2263.563276155607
2024-03-02,62434.3,62500.0,61663.3,62033.7,62076.8,2212.55763597,22204.0,52335.74919686163,45227.519197230045,80.02906432420542,2161.6444707159208
2024-03-03,62028.6,63255.0,61400.0,63178.2,62450.3,1592.02456275,26888.0,53035.26215190282,45582.97822302747,81.42901667249066,2139.741294236212
